ingrID 	isVegan	isDairyFree	isNutFree	isVegetarian	isGlutenFree
4	1	1	1	1	1
12	0	1	1	0	1
15	1	1	1	1	1
20	1	1	1	1	1
21	0	1	1	0	1
24	1	1	1	1	1
25	1	1	1	1	1
26	1	1	1	1	0
27	1	1	1	1	1
30	0	0	1	1	1
31	1	1	1	1	1
36	1	1	1	1	1
38	1	1	1	1	1
39	0	0	1	1	1
40	1	1	1	1	1
41	0	1	1	0	1
42	0	1	1	0	1
43	0	1	1	0	1
47	0	0	1	1	1
48	0	1	1	0	1
49	0	1	1	0	1
55	1	1	1	1	1
57	1	1	1	1	0
59	1	1	1	1	1
61	1	1	1	1	0
64	1	1	1	1	1
69	0	0	1	1	1
75	1	1	1	1	0
84	1	1	1	1	1
86	0	1	1	0	1
87	0	1	1	0	1
90	0	1	1	0	1
96	0	0	1	1	1
99	1	1	1	1	1
101	0	1	1	0	1
102	1	1	1	1	1
104	1	1	1	1	1
107	1	1	1	1	1
109	1	1	1	1	1
112	0	0	1	1	1
117	1	1	1	1	1
121	1	1	1	1	1
123	1	1	1	1	1
125	1	1	1	1	1
133	1	1	1	1	1
134	1	1	0	1	1
135	0	0	0	1	1
136	1	1	1	1	1
139	1	1	1	1	1
143	0	1	1	0	1
144	1	1	1	1	1
148	1	1	1	1	1
152	0	1	1	0	1
153	1	1	1	1	1
156	1	1	1	1	0
160	0	1	1	0	1
165	0	1	1	0	1
166	1	1	1	1	1
171	0	1	1	0	1
172	0	0	1	1	1
176	1	1	1	1	1
178	0	1	1	0	1
180	1	1	1	1	1
188	1	1	1	1	1
189	0	1	1	0	1
190	0	1	1	0	1
195	1	1	1	1	1
200	1	1	1	1	1
203	0	0	1	1	1
