ingr_name	ingrID
allspice	0
almond	1
anchovy	2
anise	3
apple	4
apricot	5
artichoke	6
arugula	7
asiago	8
asparagus	9
available	10
avocado	11
bacon	12
baking powder	13
baking soda	14
banana	15
basil	16
bass	17
bay leaf	18
bbq sauce	19
bean	20
beef	21
blue cheese	22
blueberr	23
bourbon	24
bourbon whiskey	25
bread	26
broccoli	27
broth	28
burrata	29
butter	30
cabbage	31
camembert	32
capers	33
caraway	34
cardamom	35
carrot	36
cayenne	37
celery	38
cheddar	39
cherri	40
chicken	41
chicken breast	42
chicken leg	43
chile	44
chili	45
chive	46
chocolate	47
chop	48
chuck roast	49
cilantro	50
cinnamon	51
clove	52
cocoa	53
coconut	54
coffee	55
colby	56
cooki	57
coriander	58
corn	59
cottage cheese	60
cracker	61
cranberr	62
cream cheese	63
cucumber	64
cumin	65
currants	66
curry	67
dill	68
egg	69
emmentaler	70
equipment	71
fennel	72
feta	73
fish	74
flour	75
fontina	76
garlic	77
gelatin	78
gin	79
ginger	80
goat cheese	81
gorgonzola	82
gouda	83
grape	84
greens	85
ground beef	86
ground chuck	87
gruyère	88
halibut	89
ham	90
havarti	91
heavy cream	92
hoisin sauce	93
honey	94
hot sauce	95
ice cream	96
ice cube	97
jalapeño	98
jelly	99
ketchup	100
lamb	101
lemon	102
lentil	103
lettuce	104
lime	105
linguini	106
macaroni	107
maple syrup	108
margarine	109
mascarpone	110
mayonnaise	111
milk	112
mint	113
molasses	114
monterey jack	115
mozzarella	116
mushroom	117
mustard	118
noodle	119
nutmeg	120
oil	121
olive	122
onion	123
optional	124
orange	125
oregano	126
oyster sauce	127
paprika	128
parmesan	129
parsley	130
pasta	131
pea	132
peach	133
peanut	134
peanut butter	135
pear	136
pecan	137
penne	138
pepper	139
phyllo pastry	140
pine	141
poppy	142
pork	143
potato	144
provolone	145
puff pastry	146
pumpkin	147
radish	148
raisin	149
raspberr	150
ravioli	151
rib roast	152
rice	153
ricotta	154
rigatoni	155
roll	156
romano cheese	157
roquefort	158
rosemary	159
round roast	160
rum	161
sage	162
salmon	163
salt	164
sausage	165
scallion	166
scallop	167
sesame	168
shallot	169
sherry	170
short rib	171
shortening	172
shrimp	173
sour cream	174
soy sauce	175
spaghetti	176
spinach	177
steak	178
strawberry	179
sugar	180
swiss	181
tabasco	182
tarragon	183
tartar	184
tea	185
thermometer	186
thyme	187
tomato	188
tuna	189
turkey	190
turmeric	191
vanilla	192
veal	193
vinegar	194
vodka	195
walnut	196
water	197
whipped cream	198
whipping cream	199
wine	200
worcestershire	201
yeast	202
yogurt	203
zucchini	204
